alpha,beta,gamma,score_etudiants,score_universites,score_global
0.0,0.0,1.0,1.0,1.0,1.0
0.0,0.1,0.9,0.9884297520661157,0.975206611570248,0.9818181818181819
0.0,0.2,0.8,0.9768595041322314,0.9504132231404959,0.9636363636363636
0.0,0.3,0.7,0.965289256198347,0.9256198347107438,0.9454545454545454
0.0,0.4,0.6,0.9537190082644628,0.9008264462809917,0.9272727272727272
0.0,0.5,0.5,0.9421487603305785,0.8760330578512396,0.9090909090909091
0.0,0.6,0.4,0.9305785123966942,0.8512396694214877,0.8909090909090909
0.0,0.7,0.3,0.9190082644628099,0.8264462809917354,0.8727272727272727
0.0,0.8,0.2,0.9074380165289255,0.8016528925619835,0.8545454545454545
0.0,0.9,0.1,0.8958677685950412,0.7768595041322315,0.8363636363636364
0.0,1.0,0.0,0.884297520661157,0.7520661157024794,0.8181818181818181
0.1,0.0,0.9,0.9636363636363636,0.9454545454545454,0.9545454545454546
0.1,0.1,0.8,0.9520661157024795,0.9206611570247935,0.9363636363636365
0.1,0.2,0.7,0.9404958677685951,0.8958677685950414,0.9181818181818182
0.1,0.3,0.6,0.9289256198347107,0.8710743801652893,0.8999999999999999
0.1,0.4,0.5,0.9173553719008265,0.8462809917355372,0.8818181818181818
0.1,0.5,0.4,0.9057851239669421,0.8214876033057852,0.8636363636363636
0.1,0.6,0.3,0.8942148760330577,0.7966942148760331,0.8454545454545455
0.1,0.7,0.2,0.8826446280991735,0.771900826446281,0.8272727272727273
0.1,0.8,0.1,0.8710743801652892,0.7471074380165289,0.8090909090909091
0.1,0.9,0.0,0.8595041322314049,0.7223140495867769,0.7909090909090909
0.2,0.0,0.8,0.9272727272727274,0.890909090909091,0.9090909090909092
0.2,0.1,0.7,0.915702479338843,0.8661157024793388,0.8909090909090909
0.2,0.2,0.6,0.9041322314049587,0.8413223140495868,0.8727272727272728
0.2,0.3,0.5,0.8925619834710744,0.8165289256198347,0.8545454545454545
0.2,0.4,0.4,0.8809917355371901,0.7917355371900827,0.8363636363636364
0.2,0.5,0.3,0.8694214876033057,0.7669421487603305,0.8181818181818181
0.2,0.6,0.2,0.8578512396694216,0.7421487603305785,0.8
0.2,0.7,0.1,0.8462809917355372,0.7173553719008264,0.7818181818181817
0.2,0.8,0.0,0.8347107438016529,0.6925619834710744,0.7636363636363637
0.3,0.0,0.7,0.8909090909090909,0.8363636363636363,0.8636363636363635
0.3,0.1,0.6,0.8793388429752066,0.8115702479338842,0.8454545454545455
0.3,0.2,0.5,0.8677685950413223,0.7867768595041322,0.8272727272727273
0.3,0.3,0.4,0.856198347107438,0.7619834710743802,0.8090909090909091
0.3,0.4,0.3,0.8446280991735537,0.737190082644628,0.7909090909090909
0.3,0.5,0.2,0.8330578512396694,0.7123966942148761,0.7727272727272727
0.3,0.6,0.1,0.8214876033057851,0.687603305785124,0.7545454545454545
0.4,0.0,0.6,0.8545454545454545,0.7818181818181817,0.8181818181818181
0.4,0.1,0.5,0.8429752066115703,0.7570247933884298,0.8
0.4,0.2,0.4,0.8314049586776859,0.7322314049586778,0.7818181818181819
0.4,0.3,0.3,0.8198347107438018,0.7074380165289256,0.7636363636363637
0.4,0.4,0.2,0.8082644628099174,0.6826446280991736,0.7454545454545455
0.4,0.5,0.1,0.7966942148760331,0.6578512396694215,0.7272727272727273
0.5,0.0,0.5,0.8181818181818182,0.7272727272727273,0.7727272727272727
0.5,0.1,0.4,0.806611570247934,0.7024793388429752,0.7545454545454546
0.5,0.2,0.3,0.7950413223140496,0.6776859504132231,0.7363636363636363
0.5,0.3,0.2,0.7834710743801654,0.6528925619834711,0.7181818181818183
0.5,0.4,0.1,0.771900826446281,0.628099173553719,0.7
0.5,0.5,0.0,0.7603305785123967,0.6033057851239669,0.6818181818181819
0.6,0.0,0.4,0.781818181818182,0.6727272727272727,0.7272727272727273
0.6,0.1,0.3,0.7702479338842976,0.6479338842975206,0.7090909090909091
0.6,0.2,0.2,0.7586776859504132,0.6231404958677687,0.6909090909090909
0.6,0.3,0.1,0.7471074380165289,0.5983471074380166,0.6727272727272727
0.6,0.4,0.0,0.7355371900826446,0.5735537190082645,0.6545454545454545
0.7,0.0,0.3,0.7454545454545455,0.6181818181818182,0.6818181818181819
0.7,0.1,0.2,0.7338842975206612,0.5933884297520662,0.6636363636363637
0.7,0.2,0.1,0.7223140495867769,0.5685950413223141,0.6454545454545455
0.7,0.3,0.0,0.7107438016528926,0.543801652892562,0.6272727272727273
0.8,0.0,0.2,0.7090909090909092,0.5636363636363637,0.6363636363636365
0.8,0.1,0.1,0.6975206611570248,0.5388429752066116,0.6181818181818182
0.9,0.0,0.1,0.6727272727272728,0.509090909090909,0.5909090909090909
1.0,0.0,0.0,0.6363636363636365,0.45454545454545453,0.5454545454545455
